date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:38:01	4892/4892	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Nov%202022%2001:38:01%20GMT	https://actualizados.runt.com.co/Account/login.aspx?p=0	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Account/login308b.html	(from )
20:38:02	816/816	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:38:01%20GMT	https://actualizados.runt.com.co/robots.txt		(from )
20:38:02	3285/3285	---M-Z	200	added ('OK')	text/css	etag:%22047b2cdb6bcf1:0%22	https://actualizados.runt.com.co/App_Themes/Default/colorbox.css	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/App_Themes/Default/colorbox.css	(from https://actualizados.runt.com.co/Account/login.aspx?p=0)
20:38:02	1000/1000	---M--	200	added ('OK')	text/css	etag:%2206654f067e9cf1:0%22	https://actualizados.runt.com.co/Public/Styles/Inicio2013.min.V1.css	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Public/Styles/Inicio2013.min.V1.css	(from https://actualizados.runt.com.co/Account/login.aspx?p=0)
20:38:02	64593/64593	---M-Z	200	added ('OK')	text/css	etag:%220516bd670e9cf1:0%22	https://actualizados.runt.com.co/Public/Styles/bootstrap.min.V1.css	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Public/Styles/bootstrap.min.V1.css	(from https://actualizados.runt.com.co/Account/login.aspx?p=0)
20:38:03	62103/62103	---M-Z	200	added ('OK')	text/css	etag:%2276fff8132852d41:0%22	https://actualizados.runt.com.co/Public/Styles/core.min.V2.css	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Public/Styles/core.min.V2.css	(from https://actualizados.runt.com.co/Account/login.aspx?p=0)
20:38:03	2555/2555	---M-Z	200	added ('OK')	text/css	etag:%220f7a04a67e9cf1:0%22	https://actualizados.runt.com.co/Styles/colorbox.min.V1.css	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Styles/colorbox.min.V1.css	(from https://actualizados.runt.com.co/Account/login.aspx?p=0)
20:38:03	113630/113630	---M-Z	200	added ('OK')	application/javascript	etag:%2206ff7a0b32dcf1:0%22	https://actualizados.runt.com.co/Scripts/jquery.min.js	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Scripts/jquery.min.js	(from https://actualizados.runt.com.co/Account/login.aspx?p=0)
20:38:03	25547/25547	---M-Z	200	added ('OK')	application/javascript	etag:%2202baf6fe9cf1:0%22	https://actualizados.runt.com.co/Scripts/bootstrap.min.V1.js	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Scripts/bootstrap.min.V1.js	(from https://actualizados.runt.com.co/Account/login.aspx?p=0)
20:38:03	11067/11067	---M-Z	200	added ('OK')	application/javascript	etag:%2202a16eb7bcf1:0%22	https://actualizados.runt.com.co/Scripts/jquery.colorbox-min.js	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Scripts/jquery.colorbox-min.js	(from https://actualizados.runt.com.co/Account/login.aspx?p=0)
20:38:04	123/123	---M--	200	added ('OK')	application/javascript	etag:%220d56f6db7bcf1:0%22	https://actualizados.runt.com.co/Scripts/BloqueoClicDerecho.js	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Scripts/BloqueoClicDerecho.js	(from https://actualizados.runt.com.co/Account/login.aspx?p=0)
20:38:04	1835/1835	---M-Z	200	added ('OK')	text/css	etag:%220d56f6db7bcf1:0%22	https://actualizados.runt.com.co/Public/Styles/Inicio2013.css	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Public/Styles/Inicio2013.css	(from https://actualizados.runt.com.co/Account/login.aspx?p=0)
20:38:04	37275/37275	---M--	200	added ('OK')	image/jpeg	etag:%22804572e07cb7d41:0%22	https://actualizados.runt.com.co/Public/img/logoRUNT_833x145.jpg	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Public/img/logoRUNT_833x145.jpg	(from https://actualizados.runt.com.co/Account/login.aspx?p=0)
20:38:04	1849/1849	---M--	200	added ('OK')	image/gif	etag:%220d56f6db7bcf1:0%22	https://actualizados.runt.com.co/Public/img/ajax-loader.gif	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Public/img/ajax-loader.gif	(from https://actualizados.runt.com.co/Account/login.aspx?p=0)
20:38:05	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:38:05%20GMT	https://actualizados.runt.com.co/App_Themes/Images/Colorbox/controls.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/App_Themes/Images/Colorbox/controls.png	(from https://actualizados.runt.com.co/App_Themes/Default/colorbox.css)
20:38:05	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:38:05%20GMT	https://actualizados.runt.com.co/App_Themes/Images/Colorbox/border.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/App_Themes/Images/Colorbox/border.png	(from https://actualizados.runt.com.co/App_Themes/Default/colorbox.css)
20:38:05	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:38:05%20GMT	https://actualizados.runt.com.co/App_Themes/Images/Colorbox/loading_background.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/App_Themes/Images/Colorbox/loading_background.png	(from https://actualizados.runt.com.co/App_Themes/Default/colorbox.css)
20:38:05	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:38:05%20GMT	https://actualizados.runt.com.co/App_Themes/Images/Colorbox/loading.gif	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/App_Themes/Images/Colorbox/loading.gif	(from https://actualizados.runt.com.co/App_Themes/Default/colorbox.css)
20:38:06	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:38:06%20GMT	https://actualizados.runt.com.co/Portals/_default/skins/ms_base/Styles/img/search.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Portals/_default/skins/ms_base/Styles/img/search.png	(from https://actualizados.runt.com.co/Public/Styles/Inicio2013.min.V1.css)
20:38:06	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:38:06%20GMT	https://actualizados.runt.com.co/Public/images/settings.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Public/images/settings.png	(from https://actualizados.runt.com.co/Public/Styles/core.min.V2.css)
20:38:06	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:38:06%20GMT	https://actualizados.runt.com.co/Public/images/new.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Public/images/new.png	(from https://actualizados.runt.com.co/Public/Styles/core.min.V2.css)
20:38:07	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:38:06%20GMT	https://actualizados.runt.com.co/Public/images/drag-dark.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Public/images/drag-dark.png	(from https://actualizados.runt.com.co/Public/Styles/core.min.V2.css)
20:38:07	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:38:07%20GMT	https://actualizados.runt.com.co/Public/images/arrow-left.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Public/images/arrow-left.png	(from https://actualizados.runt.com.co/Public/Styles/core.min.V2.css)
20:38:07	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:38:07%20GMT	https://actualizados.runt.com.co/Public/images/arrow-right.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Public/images/arrow-right.png	(from https://actualizados.runt.com.co/Public/Styles/core.min.V2.css)
20:38:07	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:38:07%20GMT	https://actualizados.runt.com.co/Public/images/fullscreen.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Public/images/fullscreen.png	(from https://actualizados.runt.com.co/Public/Styles/core.min.V2.css)
20:38:08	1245/1245	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Nov%202022%2001:38:07%20GMT	https://actualizados.runt.com.co/Public/images/exit-full.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Public/images/exit-full.png	(from https://actualizados.runt.com.co/Public/Styles/core.min.V2.css)
20:38:08	2027/2027	---M--	200	added ('OK')	image/png	etag:%220d0159ca3e0cf1:0%22	https://actualizados.runt.com.co/Images/Colorbox/controls.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Images/Colorbox/controls.png	(from https://actualizados.runt.com.co/Styles/colorbox.min.V1.css)
20:38:08	139/139	---M--	200	added ('OK')	image/png	etag:%220d0159ca3e0cf1:0%22	https://actualizados.runt.com.co/Images/Colorbox/border.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Images/Colorbox/border.png	(from https://actualizados.runt.com.co/Styles/colorbox.min.V1.css)
20:38:08	131/131	---M--	200	added ('OK')	image/png	etag:%220d0159ca3e0cf1:0%22	https://actualizados.runt.com.co/Images/Colorbox/loading_background.png	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Images/Colorbox/loading_background.png	(from https://actualizados.runt.com.co/Styles/colorbox.min.V1.css)
20:38:09	6244/6244	---M--	200	added ('OK')	image/gif	etag:%220d0159ca3e0cf1:0%22	https://actualizados.runt.com.co/Images/Colorbox/loading.gif	C:/Users/USER/Desktop/Runt%20Actualizados/run/actualizados.runt.com.co/Images/Colorbox/loading.gif	(from https://actualizados.runt.com.co/Styles/colorbox.min.V1.css)
